"Genotype" "EnvRef" "INRcle2015Irr" "INRcle2013N+" "INRcle2013N-" "INRmon2012N+" "INRmon2012N-" "INRmon2013N+" "INRmon2013N-"
"1" "sollario" 69.8337060293518 95.0272669636861 93.9950214158192 89.4515384551991 63.4785652173411 48.2160707957137 81.3592160854856 63.8781707899166
"2" "blini" 49.7493831412221 61.611644614802 67.2800397879461 62.5624515494349 NA NA 52.8599012584217 49.3159196244766
"3" "aramis" 86.0493831412221 84.111644614802 90.8266174912375 88.0832359564147 66.4860836362055 60.2093804071854 85.3446569859832 62.7059671564699
"4" "amifort" 63.8493831412221 81.111644614802 NA NA NA NA NA NA
"5" "aprilio" 63.3993831412221 78.911644614802 86.772032974244 81.7491013345359 74.8860836362055 66.7093804071854 77.4002154781133 65.9662550029877
"6" "picador" 67.2493831412221 93.511644614802 NA NA NA NA NA NA
"7" "epidoc" 71.4493831412221 86.811644614802 86.7870221959074 90.6674877066495 67.7256402515949 65.4886337166664 78.8071640191341 62.4008019926888
"8" "bonifacio" 73.5493831412221 103.511644614802 NA NA NA NA NA NA
"9" "blason" 61.6493831412221 55.911644614802 NA NA NA NA NA NA
"10" "tulip" 71.1397493544682 88.511644614802 86.0510806815637 82.0856731681959 70.5696658018244 66.2840069231984 81.1814759584852 68.1206830775665
"20" "allez y" 76.9046589621522 88.34375 89.517645591921 84.0487766487575 81.058573745253 71.1092409046781 88.0951075820632 71.2134760138923
"19" "isengrain" 77.2397493544682 97.8616445287882 93.3994227344745 95.0925612203152 77.4696658018243 68.2840069231984 86.038861024474 69.615467490065
"18" "graindor" 76.2493831412221 90.711644614802 95.1812333048966 91.0246845685384 74.1256402515949 69.2886337166663 78.9211107306477 68.9240114905079
"17" "behert" 59.8493831412221 65.211644614802 NA NA NA NA NA NA
"16" "goncourt" 76.6493831412221 70.711644614802 84.7828275835848 85.9752361789022 72.8256402515949 68.0886337166663 83.0227764649742 62.7940309799548
"15" "isidor" 69.0493831412221 75.811644614802 NA NA NA NA NA NA
"14" "ardelor" 66.4897493544682 85.7116445287882 NA NA NA NA NA NA
"13" "tremie" 71.9493831412221 83.711644614802 98.2056616129921 90.574091630429 73.5196658018244 62.9340069231984 72.2237862153924 65.6844369576756
"12" "calisol" 75.5993831412221 94.4116445287882 NA NA NA NA NA NA
"11" "scenario" 72.3993831412221 87.0616445287882 88.3088268359505 84.6968812874135 79.925640251595 67.3886337166662 83.0755136798126 63.3590490001952
"21" "bologna" 65.3897493544682 87.4616445287882 72.8763497831938 75.0668438304762 66.4285652173411 55.9160707957138 70.4304574704325 55.4349709020892
"22" "grenier" 76.3493831412221 84.411644614802 NA NA NA NA NA NA
"23" "sirtaki" 71.7897493544682 67.3616444427744 89.7973782327265 87.6116063797071 63.5434390826285 59.1527614616971 72.5522001915213 63.9279359953566
"24" "eperon" 80.0493831412221 96.911644614802 NA NA NA NA NA NA
"25" "aubusson" 67.9897493544682 85.1616445287882 92.1054955204715 91.4882526975763 63.098793629129 53.7020490857599 73.784003825231 59.0782268760565
"26" "oregrain" 74.7224765090431 91.7375 100.846520052111 94.9129548888463 80.425640251595 55.1886337166663 86.2258023839725 73.2618022821755
"27" "genesis" 72.3493831412221 84.311644614802 NA NA NA NA NA NA
"28" "athlon" 66.3897493544682 74.811644614802 84.5614509565267 81.8067746232609 70.048793629129 60.1020490857599 80.6139463258632 64.1378308434921
"29" "celestin" 81.4493831412221 89.311644614802 94.7953435084516 85.9516458154768 69.448793629129 62.2520490857599 82.6200906787146 64.0034341128813
"36" "soissons" 72.3493831412221 87.011644614802 89.9119854299942 83.1774453971266 70.4696658018244 61.0340069231984 80.5779262128953 62.9734625804056
"35" "deucendeu" 64.2493831412221 74.911644614802 NA NA NA NA NA NA
"34" "quality" 48.6897493544682 65.2616445287882 75.9648384662407 74.7504362974625 54.5434390826286 50.852761461697 66.0512047816909 49.7231326516527
"33" "buenno" 67.4493831412221 86.711644614802 89.2837215189735 88.267954766731 69.098793629129 62.1020490857599 81.8090164115748 62.8531492986779
"32" "trapez" 78.9438341773967 82.2880611514582 102.349278081163 95.4106053536419 73.5585737452531 72.0092409046781 92.9977682234748 72.6627668732873
"31" "uski" 78.5493831412221 99.411644614802 93.0936324147227 93.9477131377089 75.2196658018244 63.8340069231984 82.882685608809 69.0831448521823
"30" "courtot" 62.3493831412221 73.911644614802 76.6374618550686 78.2929995975542 62.1434390826285 46.6527614616971 66.4724745403237 47.5660866595879
"37" "solehio" 66.8301155677144 86.8116444427744 98.916395667016 99.7634202424366 81.7196658018244 69.8340069231984 87.6030241150426 72.7203384995645
"38" "accroc" 71.1301155677144 104.211644442774 99.2613462540156 93.6686017517397 72.6696658018243 63.2840069231985 83.6418672273897 66.7575229673954
"39" "accor" 73.4301155677144 93.5116444427744 82.4783101003132 83.2795383306389 70.8696658018216 58.3840069231931 78.169082798207 61.9166262240142
"40" "pr22r58" 67.1801155677144 102.461644442774 92.7706444535838 95.0922195369807 85.8434390826285 64.852761461697 82.4086021235277 66.407401864932
"41" "cezanne" 75.9301155677144 83.7116445287882 93.9546531995495 93.7426228330384 65.3434390826285 70.3527614616971 88.5668604893333 68.6201739477598
"42" "andalou" 83.0301155677144 82.3116444427744 97.7651255514721 100.563517147314 72.7434390826284 66.4527614616971 82.1612156359026 67.5560915347775
"43" "garcia" 78.0801155677144 101.611644442774 93.5519350088686 94.5414352807146 65.3285652173411 62.9160707957138 76.6872518485525 65.2464144430138
"50" "adhoc" 81.6301155677144 97.8116444427744 95.518013739957 85.1125333909504 80.7196658018243 67.1840069231985 84.8769874589086 66.4457666094598
"49" "artdeco" 70.9301155677144 92.3116444427744 97.4966500642858 94.0822955238697 74.0434390826285 63.9527614616971 90.9631945690281 75.6934763172303
"48" "soledad" 48.4301155677144 70.0116444427744 88.7716125572185 89.6236102314416 60.7434390826286 59.252761461697 75.9939906088228 58.5726580670947
"47" "innov" 77.7301155677144 92.8116444427744 89.9790509332328 82.7974835926605 64.6256402515949 58.5886337166663 78.910819183015 59.6314805127441
"46" "exotic" 71.5801155677144 95.5616444427744 93.341383119844 92.3257113283497 73.5434390826285 64.852761461697 85.4805892782243 65.8425040643264
"45" "rimbaud" 72.6301155677144 90.1116444427744 99.5882075431404 92.6592953507206 66.2434390826285 64.952761461697 75.2855850422825 64.0482140511244
"44" "tigre" 52.4301155677144 76.9116444427744 NA NA NA NA NA NA
"51" "primo" 67.5301155677144 75.0116444427744 75.8345146783307 80.1752381906842 71.3434390826285 63.852761461697 75.3107792319419 62.0350250213692
"52" "acienda" 85.6301155677144 97.3116444427744 96.0483313254184 89.4458114862162 58.6696658018243 55.5840069231985 74.6199200978693 65.0202589104266
"53" "autan" 77.7301155677144 88.5116444427744 90.7183850640637 89.4480698150459 61.4434390826285 55.3527614616971 80.9576344318948 66.6685797969731
"54" "altria" 77.4301155677144 96.9116444427744 91.7077322102694 96.6016793120931 71.1696658018243 66.0840069231985 82.9678700892671 72.8760976117284
"55" "miroir" 84.6301155677144 101.411644442774 91.8514396224935 95.8766312984508 80.2434390826285 79.752761461697 90.9395636820993 73.3657235605953
"56" "eureka" 65.4301155677144 85.2116444427744 84.5638171310936 86.467107457517 67.5434390826284 66.052761461697 81.2797160215105 64.3674966355468
"57" "galopain" 81.4301155677144 104.811644442774 91.4671417549218 91.2741510268869 63.2434390826284 61.252761461697 80.3035901650426 68.8387792286503
"58" "azimut" 74.7301155677144 86.2116444427744 92.0979769753086 91.1610125428006 70.0434390826285 58.0527614616971 80.1406945457244 65.834862094342
"60" "altamira" 64.9301155677144 91.8116444427744 91.8714844961526 92.004358345376 67.3860836362055 62.3093804071854 90.7617958905447 66.8704010525855
"59" "royssac" 81.1301155677144 98.9116444427744 81.5523349124491 75.8433986463238 69.3285652173411 62.1160707957138 83.9344447153726 69.8443098014886
"61" "contrefor" 75.0015323404479 95.0241425909433 NA NA NA NA NA NA
"62" "sy tolbiac" 81.9511689194853 94.0741425909433 103.833228609899 98.486909549702 80.4643313964831 67.8558491359388 86.6048469306042 73.3395952817522
"63" "minotor" 81.5511689194853 85.5741445287841 NA NA NA NA NA NA
"64" "fructidor" 84.7015323404479 84.9741425909433 NA NA NA NA NA NA
"65" "tapidor" 82.1015323404479 83.3241425909433 82.9075180400222 62.9742173215913 72.138163168474 64.2007955750805 76.2454232259473 65.4436484350059
"66" "solution" 74.2015323404479 58.6241425909433 85.4611541686361 84.67846097854 66.438163168474 60.8007955750807 74.1994133841131 59.844756821586
"67" "player" 78.0015323404479 86.4241425909433 92.5199704865955 88.1367998140038 80.538163168474 60.6007955750807 85.6946627683046 64.7261214096795
"68" "folklor" 80.3515323404479 86.2241425909433 96.3269103874138 92.4212980056785 82.8381631684739 63.4007955750807 83.3468764910253 69.5769801726955
"69" "ch nara" 64.1515323404479 63.3241445287841 60.6806510782864 58.3744916465241 60.2248333952632 50.5977566697076 66.4174326011452 53.0384178088986
"78" "phare" 80.9015323404479 82.8241425909433 102.48706764433 93.9061485574962 82.138163168474 73.9007955750805 87.0747589324592 67.331649184969
"77" "odyssee" 72.9011689194853 77.6741445287841 92.0463351950028 89.0286921009386 76.838163168474 73.3007955750806 88.022176810839 74.6216986957944
"76" "toisondor" 80.4015323404479 92.9241425909433 90.675907848796 85.2440236398134 68.1748333952632 59.4477566697075 86.843873034852 66.7660087788851
"75" "grapeli" 86.3011689194853 91.1241445287841 NA NA NA NA NA NA
"74" "karillon" 93.3015323404479 89.5241425909433 94.7454475045877 86.9090149028241 75.448793629129 67.6020490857599 92.0626865808002 75.9861755520811
"73" "attlass" 84.1015323404479 83.9241425909433 97.2205503539556 96.6764483202806 76.908573745253 69.1092409046781 91.6795867128694 73.9357699246241
"72" "boisseau" 93.9015323404479 97.8741425909433 96.3055304136801 91.6143629508545 77.6085737452531 71.0592409046781 93.6343354712451 71.022559886582
"71" "triomph" 86.2015323404479 95.9241425909433 NA NA NA NA NA NA
"70" "quatuor" 76.6511689194853 88.7241445287841 NA NA NA NA NA NA
